treatment_name,metric,generated_game_count,human_game_count,generated_sd,human_sd,sd_ratio,abs_log_sd_ratio,generated_iqr,human_iqr,iqr_ratio,abs_log_iqr_ratio
VALIDATION_0_C,final_round_normalized_efficiency,10,10,0.02884615384615385,0.2731795634738752,0.10559411355422449,2.2481526521213895,0.0,0.4606711216973225,0.0,
VALIDATION_0_T,final_round_normalized_efficiency,12,12,0.11765429302687115,0.28614540806108135,0.41116960018368126,0.8887494970884968,0.1990384615384616,0.2673735168276652,0.7444210028727387,0.2951485401134885
VALIDATION_10_C,final_round_normalized_efficiency,10,10,0.14083592267388137,0.5043570131399739,0.2792385532563126,1.275688832897825,0.2574906367041198,0.791198501872659,0.3254437869822485,1.1225655296906025
VALIDATION_10_T,final_round_normalized_efficiency,10,10,0.25778158570764337,1.0313056339783555,0.24995653782402738,1.3864682249372187,0.3979400749063669,0.294943820224719,1.3492063492063493,0.2995165300987838
VALIDATION_11_C,final_round_normalized_efficiency,10,10,0.4951096288604296,0.23838838681861219,2.0769033066915066,0.7308779894971007,1.0106382978723403,0.36300832664999794,2.784063680298905,1.0239116158811585
VALIDATION_11_T,final_round_normalized_efficiency,11,11,0.46164761460496273,0.47564151189004067,0.9705788983188812,0.029862583109832776,1.0106382978723403,0.4131591790841922,2.446123308000851,0.8945044480960713
VALIDATION_12_C,final_round_normalized_efficiency,12,12,0.0,0.20817768394941574,0.0,,0.0,0.17717086834733897,0.0,
VALIDATION_12_T,final_round_normalized_efficiency,12,12,3.3306690738754696e-16,0.32123983268754447,1.0368169619597148e-15,34.50262098851378,0.0,0.3865108543417367,0.0,
VALIDATION_13_C,final_round_normalized_efficiency,10,10,0.1576034041410454,0.19457814395275885,0.8099748560625059,0.21075207369560323,0.11179956896551721,0.21219405594405594,0.5268741787705528,0.6407935089070843
VALIDATION_13_T,final_round_normalized_efficiency,11,11,0.11983597653607592,0.2735662484795471,0.4380510285976866,0.8254198717440275,0.15041307471264365,0.28871880412533446,0.5209673653516121,0.6520678776712325
VALIDATION_14_C,final_round_normalized_efficiency,12,12,0.08888142872340422,0.3235742334137886,0.2746863611038588,1.2921253372632862,0.11197916666666669,0.45166666666666655,0.24792435424354253,1.3946316025577186
VALIDATION_14_T,final_round_normalized_efficiency,10,10,0.11687574271897108,1.0724088604114053,0.10898431282462023,2.2165513261505136,0.12239583333333336,0.203125,0.6025641025641026,0.506561224979533
VALIDATION_15_C,final_round_normalized_efficiency,11,11,0.10472241393741484,0.24943391664684408,0.41984031420107126,0.8678808442838606,0.03846153846153845,0.39239926739926745,0.09801633605600929,2.3226211197544666
VALIDATION_15_T,final_round_normalized_efficiency,9,9,0.28533842733977494,0.6815117251382604,0.41868454615639583,0.8706375157463992,0.2307692307692307,0.2234848484848485,1.0325945241199475,0.03207459044716929
VALIDATION_16_C,final_round_normalized_efficiency,10,10,0.0,0.33781024752987077,0.0,,0.0,0.3974960876369328,0.0,
VALIDATION_16_T,final_round_normalized_efficiency,8,8,0.19160123681912203,0.9836276043157709,0.19479042269498253,1.6358310537924825,0.2277777777777778,0.6251956181533647,0.36433041301627034,1.009694095014697
VALIDATION_17_C,final_round_normalized_efficiency,11,11,0.437580631499949,0.13585255991392448,3.2209965846591184,1.1696908100129264,0.625590179414542,0.1642625328190076,3.80847761615759,1.3372295334752669
