Unnamed: 0.1,Unnamed: 0,_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
0.0,0,vPe49fc2hyuoDTMLH,1,complete,True,2023-04-20T17:00:00Z,2023-04-20T17:33:39Z,finished,,"zzwFiFeNTXYCkijjE,5qNajwPqTHZR4hzfB,kh7arKjP2TXrx7HwY,wakTScBMc3QzxyNpA,4Z5uDYPcFsmMAnBJf,nw9utR2xKSBHTk6zd",2023-04-19T20:13:13Z,
1.0,1,dEuo46E2h8hecJXJ2,1,complete,True,2023-04-07T16:58:59Z,2023-04-07T17:22:57Z,finished,,"FmkaCSorD3a94QiTC,m6KXjmpPzvMmmmKFZ,5R4kRpHMWpazH7csB,zrxsJ6NsjZqBSyrNS,4stGwnWZ3bN6RwdGX,RSP8cDTpmf2QpCju6",2023-04-07T16:19:18Z,
2.0,2,JAg3wsTXMdjtcGhTu,2,complete,True,2023-04-07T17:24:18Z,2023-04-07T18:15:31Z,finished,,"CMvkdTcrwEhdeWTQF,QHPKqFuSzy2W4kMoC,tHLnuqjhYmmnd47Wo,MMG6B6aWY2hw7Hf52,HohcuivFAp5Q6BGuP,2r5xvh4mLkmbyTPuW",2023-04-07T17:11:49Z,
3.0,3,HaFturLNB9gR6aWti,3,complete,True,2023-04-20T17:00:02Z,2023-04-20T18:19:07Z,finished,,"QK7Qydbg5D3GvBnz6,bWca3DwPqyGAuwyri,7SL3Ldc2fSvv9ysFY,LTpAzDYyaNvK6Z9Bp,Z5Drty7ZMjj5ofuHj,ervfYGcspz4PmvGhe,guqnSFsL7PBoja4HM,W5dH6qRjx9pHLdkay",2023-04-19T20:09:20Z,
4.0,4,2ZMRpwyKjckgNDsT5,4,complete,True,2023-04-25T18:40:54Z,2023-04-25T18:57:35Z,cancelled,,"hTJjA7Z63RBuEpkEJ,XT4BGco72Tioegwe7,oEkrWYrRhfFTo4uNJ,KuH5GTYQGFgwSdN9M,WZwqGocuWKmCDKx55,SbpdWekiRC9XrEeXW",2023-04-25T18:37:44Z,
5.0,5,Tg8uYXtmMPBh4JP3w,5,complete,True,2023-04-26T18:19:25Z,2023-04-26T18:38:23Z,finished,,"ieZ6xDJofJsTcQy7G,k2vfubE2hWC33SD5B,PsqZhCu3YwXicjGGa,n6NSi97NRys5B34oj",2023-04-26T18:15:53Z,
6.0,6,XiZSY9FdjhbYfKjCa,6,complete,True,2023-04-26T19:36:19Z,2023-04-26T20:32:35Z,finished,,"Q7Lpuz4jZZ9WCd5JG,2HvMCoKkzNvhYKJgp,ffYPZNBq9hZaNTksD,yKwnChuEmdBZrpZE5",2023-04-26T19:35:19Z,
7.0,7,9NM2etXHN2944WXGy,7,complete,True,2023-04-28T16:00:00Z,2023-04-28T16:43:22Z,finished,,"iwtEFKBW9YdZHuJwT,Gp8geFeTE57EuwX8L,vbn6abRQXZihWaaaA,JLFHg4eNsf6DvtZwo,K773SGk45bYd9k8j8,6AnZ2gcC3gTC5kA9j,teduku6Nrk7RMtB78,Rj95WGKuMYoqNNdqw",2023-04-28T15:44:19Z,
9.0,9,AcLM9JzvFEYk9KFZK,9,complete,True,2023-05-03T19:00:06Z,2023-05-03T19:43:17Z,finished,,"RttRcaDc9LL35QTSM,rWG5mpMf99HY9uHY9,Esb9zF6J52owJzGuL,tdqpYFno2QQeRE3ze,GEg4HoG4betWJeQrA,m7QaeEoWQRTyTYuc6,ESikYmAwPYqz6DLkw,GtzSjujsFLASFExF2,Yq3KD8v64AAp9TWB8,Jk2TeDi3nXCYfBfYp",2023-05-03T18:58:39Z,
10.0,10,3XtconvmQF6DKsNmH,10,complete,True,2023-05-12T20:30:04Z,2023-05-12T20:55:54Z,finished,,"9dyp2Lrvn5EkHXHdL,iNwbahGpEc3NWtqC9",2023-05-12T20:29:24Z,
13.0,13,ks6ywDGQJcQ9G7Nce,13,complete,True,2023-06-06T18:58:14Z,2023-06-06T19:31:46Z,finished,,"TbL5wguJpyDGWP3Lw,gtgsZeYyKrZ46jwrw,hWkoPdauWkC4xNjf7,W34DkPMEtYuz57TaK",2023-06-06T18:57:57Z,
16.0,16,Dv7zX9hLrrCrkTCwr,16,complete,True,2023-06-12T19:44:32Z,2023-06-12T20:26:39Z,finished,,"pa4876QCSBF656G3b,JcdTBoHFHKhHjTPrr,ZxQqjWcDHRRAA4RNz,fQEnj6pAo2yqCQx98,5peepGs4D4ExMXS4R,97LHwQWTy4RY2qNDb",2023-06-12T19:44:02Z,
